word:the start_time:0:9 end_time:0:11
word:mathematicians start_time:0:29 end_time:0:29
word:prospective start_time:0:29 end_time:0:30
word:student start_time:0:30 end_time:0:31
word:perspective start_time:0:31 end_time:0:31
word:is start_time:0:31 end_time:0:32
word:it start_time:0:32 end_time:0:32
word:vectors start_time:0:32 end_time:0:32
word:are start_time:0:32 end_time:0:32
word:arrows start_time:0:32 end_time:0:33
word:pointing start_time:0:33 end_time:0:33
word:in start_time:0:33 end_time:0:34
word:space start_time:0:34 end_time:0:34
word:what start_time:0:34 end_time:0:35
word:defines start_time:0:35 end_time:0:35
word:a start_time:0:35 end_time:0:35
word:given start_time:0:35 end_time:0:35
word:Vector start_time:0:35 end_time:0:36
word:is start_time:0:36 end_time:0:36
word:its start_time:0:36 end_time:0:36
word:length start_time:0:36 end_time:0:37
word:and start_time:0:37 end_time:0:37
word:the start_time:0:37 end_time:0:37
word:direction start_time:0:37 end_time:0:38
word:it's start_time:0:38 end_time:0:38
word:pointing start_time:0:38 end_time:0:38
word:but start_time:0:38 end_time:0:39
word:as start_time:0:39 end_time:0:39
word:long start_time:0:39 end_time:0:39
word:as start_time:0:39 end_time:0:39
word:those start_time:0:39 end_time:0:39
word:two start_time:0:39 end_time:0:40
word:facts start_time:0:40 end_time:0:40
word:are start_time:0:40 end_time:0:40
word:the start_time:0:40 end_time:0:40
word:same start_time:0:40 end_time:0:40
word:you start_time:0:40 end_time:0:41
word:can start_time:0:41 end_time:0:41
word:move start_time:0:41 end_time:0:41
word:it start_time:0:41 end_time:0:41
word:all start_time:0:41 end_time:0:41
word:around start_time:0:41 end_time:0:41
word:and start_time:0:41 end_time:0:42
word:it's start_time:0:42 end_time:0:42
word:still start_time:0:42 end_time:0:42
word:the start_time:0:42 end_time:0:42
word:same start_time:0:42 end_time:0:42
word:Vector start_time:0:42 end_time:0:43
word:actors start_time:0:43 end_time:0:44
word:that start_time:0:44 end_time:0:44
word:live start_time:0:44 end_time:0:44
word:in start_time:0:44 end_time:0:44
word:the start_time:0:44 end_time:0:44
word:flat start_time:0:44 end_time:0:45
word:plane start_time:0:45 end_time:0:45
word:or start_time:0:45 end_time:0:45
word:two start_time:0:45 end_time:0:45
word:dimensional start_time:0:45 end_time:0:46
word:and start_time:0:46 end_time:0:46
word:those start_time:0:46 end_time:0:46
word:sitting start_time:0:46 end_time:0:47
word:in start_time:0:47 end_time:0:47
word:broader start_time:0:47 end_time:0:47
word:space start_time:0:47 end_time:0:47
word:that start_time:0:47 end_time:0:48
word:you start_time:0:48 end_time:0:48
word:and start_time:0:48 end_time:0:48
word:I start_time:0:48 end_time:0:48
word:live start_time:0:48 end_time:0:48
word:in start_time:0:48 end_time:0:48
word:our start_time:0:48 end_time:0:49
word:three-dimensional start_time:0:49 end_time:0:49
word:the start_time:0:50 end_time:0:51
word:computer start_time:0:51 end_time:0:52
word:science start_time:0:52 end_time:0:52
word:perspective start_time:0:52 end_time:0:52
word:is start_time:0:52 end_time:0:53
word:a start_time:0:53 end_time:0:53
word:vectors start_time:0:53 end_time:0:54
word:are start_time:0:54 end_time:0:54
word:ordered start_time:0:54 end_time:0:54
word:list start_time:0:54 end_time:0:55
word:of start_time:0:55 end_time:0:55
word:numbers start_time:0:55 end_time:0:55
word:for start_time:0:55 end_time:0:56
word:example start_time:0:56 end_time:0:56
word:let's start_time:0:56 end_time:0:57
word:say start_time:0:57 end_time:0:57
word:you start_time:0:57 end_time:0:57
word:were start_time:0:57 end_time:0:57
word:doing start_time:0:57 end_time:0:57
word:some start_time:0:57 end_time:0:57
word:analytics start_time:0:57 end_time:0:58
word:about start_time:0:58 end_time:0:58
word:house start_time:0:58 end_time:0:58
word:prices start_time:0:58 end_time:0:59
word:and start_time:0:59 end_time:1:0
word:the start_time:1:0 end_time:1:0
word:only start_time:1:0 end_time:1:0
word:features start_time:1:0 end_time:1:0
word:you start_time:1:0 end_time:1:0
word:cared start_time:1:0 end_time:1:1
word:about start_time:1:1 end_time:1:1
word:were start_time:1:1 end_time:1:1
word:square start_time:1:1 end_time:1:1
word:footage start_time:1:1 end_time:1:2
word:and start_time:1:2 end_time:1:2
word:price start_time:1:2 end_time:1:2
word:you start_time:1:2 end_time:1:3
word:make start_time:1:3 end_time:1:3
word:model start_time:1:3 end_time:1:4
word:each start_time:1:4 end_time:1:4
word:house start_time:1:4 end_time:1:4
word:with start_time:1:4 end_time:1:4
word:a start_time:1:4 end_time:1:4
word:pair start_time:1:4 end_time:1:5
word:of start_time:1:5 end_time:1:5
word:numbers start_time:1:5 end_time:1:5
word:the start_time:1:5 end_time:1:5
word:first start_time:1:5 end_time:1:6
word:indicating start_time:1:6 end_time:1:6
word:square start_time:1:6 end_time:1:6
word:footage start_time:1:6 end_time:1:7
word:and start_time:1:7 end_time:1:7
word:the start_time:1:7 end_time:1:7
word:second start_time:1:7 end_time:1:8
word:indicating start_time:1:8 end_time:1:8
word:price start_time:1:8 end_time:1:8
word:noticed start_time:1:8 end_time:1:9
word:the start_time:1:9 end_time:1:9
word:order start_time:1:9 end_time:1:10
word:matters start_time:1:10 end_time:1:10
word:here start_time:1:10 end_time:1:10
word:malingo start_time:1:12 end_time:1:13
word:you start_time:1:13 end_time:1:13
word:be start_time:1:13 end_time:1:13
word:modeling start_time:1:13 end_time:1:14
word:houses start_time:1:14 end_time:1:14
word:is start_time:1:14 end_time:1:14
word:two start_time:1:14 end_time:1:15
word:dimensional start_time:1:15 end_time:1:15
word:vectors start_time:1:15 end_time:1:15
word:where start_time:1:15 end_time:1:16
word:in start_time:1:16 end_time:1:16
word:this start_time:1:16 end_time:1:16
word:context start_time:1:16 end_time:1:17
word:Vector start_time:1:17 end_time:1:17
word:is start_time:1:17 end_time:1:18
word:pretty start_time:1:18 end_time:1:18
word:much start_time:1:18 end_time:1:18
word:just start_time:1:18 end_time:1:18
word:a start_time:1:18 end_time:1:18
word:fancy start_time:1:18 end_time:1:19
word:word start_time:1:19 end_time:1:19
word:for start_time:1:19 end_time:1:19
word:list start_time:1:19 end_time:1:20
word:and start_time:1:20 end_time:1:20
word:what start_time:1:20 end_time:1:20
word:makes start_time:1:20 end_time:1:20
word:it start_time:1:20 end_time:1:20
word:two-dimensional start_time:1:20 end_time:1:21
word:is start_time:1:21 end_time:1:22
word:the start_time:1:22 end_time:1:22
word:fact start_time:1:22 end_time:1:22
word:that start_time:1:22 end_time:1:22
word:the start_time:1:22 end_time:1:22
word:length start_time:1:22 end_time:1:22
word:of start_time:1:22 end_time:1:23
word:that start_time:1:23 end_time:1:23
word:list start_time:1:23 end_time:1:23
word:is start_time:1:23 end_time:1:23
word:to start_time:1:23 end_time:1:24
word:The start_time:1:24 end_time:1:26
word:Masked start_time:1:26 end_time:1:26
word:Magician start_time:1:26 end_time:1:26
word:on start_time:1:26 end_time:1:26
word:the start_time:1:26 end_time:1:26
word:other start_time:1:26 end_time:1:27
word:hand start_time:1:27 end_time:1:27
word:6 start_time:1:27 end_time:1:27
word:to start_time:1:27 end_time:1:27
word:generalize start_time:1:27 end_time:1:28
word:both start_time:1:28 end_time:1:28
word:these start_time:1:28 end_time:1:29
word:views start_time:1:29 end_time:1:29
word:basically start_time:1:29 end_time:1:30
word:saying start_time:1:30 end_time:1:30
word:that start_time:1:30 end_time:1:30
word:a start_time:1:30 end_time:1:30
word:vector start_time:1:30 end_time:1:31
word:can start_time:1:31 end_time:1:31
word:be start_time:1:31 end_time:1:31
word:anything start_time:1:31 end_time:1:31
word:where start_time:1:31 end_time:1:32
word:there's start_time:1:32 end_time:1:32
word:a start_time:1:32 end_time:1:32
word:sensible start_time:1:32 end_time:1:32
word:notion start_time:1:32 end_time:1:33
word:of start_time:1:33 end_time:1:33
word:adding start_time:1:33 end_time:1:33
word:two start_time:1:33 end_time:1:34
word:vectors start_time:1:34 end_time:1:34
word:and start_time:1:34 end_time:1:34
word:multiplying start_time:1:34 end_time:1:35
word:a start_time:1:35 end_time:1:35
word:vector start_time:1:35 end_time:1:35
word:by start_time:1:35 end_time:1:35
word:a start_time:1:35 end_time:1:36
word:number start_time:1:36 end_time:1:36
word:operations start_time:1:36 end_time:1:36
word:that start_time:1:36 end_time:1:37
word:I'll start_time:1:37 end_time:1:37
word:talk start_time:1:37 end_time:1:37
word:about start_time:1:37 end_time:1:37
word:later start_time:1:37 end_time:1:38
word:on start_time:1:38 end_time:1:38
word:in start_time:1:38 end_time:1:38
word:this start_time:1:38 end_time:1:38
word:video start_time:1:38 end_time:1:38
word:the start_time:1:38 end_time:1:39
word:details start_time:1:39 end_time:1:40
word:of start_time:1:40 end_time:1:40
word:this start_time:1:40 end_time:1:40
word:you start_time:1:40 end_time:1:40
word:are start_time:1:40 end_time:1:40
word:rather start_time:1:40 end_time:1:41
word:abstract start_time:1:41 end_time:1:41
word:and start_time:1:41 end_time:1:42
word:I start_time:1:42 end_time:1:42
word:actually start_time:1:42 end_time:1:42
word:think start_time:1:42 end_time:1:42
word:it's start_time:1:42 end_time:1:42
word:healthy start_time:1:42 end_time:1:43
word:to start_time:1:43 end_time:1:43
word:ignore start_time:1:43 end_time:1:43
word:it start_time:1:43 end_time:1:43
word:until start_time:1:43 end_time:1:44
word:the start_time:1:44 end_time:1:44
word:last start_time:1:44 end_time:1:44
word:video start_time:1:44 end_time:1:44
word:of start_time:1:44 end_time:1:45
word:the start_time:1:45 end_time:1:45
word:series start_time:1:45 end_time:1:45
word:favoring start_time:1:45 end_time:1:46
word:it start_time:1:46 end_time:1:46
word:more start_time:1:46 end_time:1:46
word:concrete start_time:1:46 end_time:1:47
word:setting start_time:1:47 end_time:1:47
word:in start_time:1:47 end_time:1:47
word:the start_time:1:47 end_time:1:47
word:interim start_time:1:47 end_time:1:48
word:but start_time:1:48 end_time:1:48
word:the start_time:1:48 end_time:1:48
word:reason start_time:1:48 end_time:1:49
word:I start_time:1:49 end_time:1:49
word:bring start_time:1:49 end_time:1:49
word:it start_time:1:49 end_time:1:49
word:up start_time:1:49 end_time:1:49
word:here start_time:1:49 end_time:1:49
word:is start_time:1:49 end_time:1:50
word:it start_time:1:50 end_time:1:50
word:it start_time:1:50 end_time:1:50
word:hints start_time:1:50 end_time:1:50
word:at start_time:1:50 end_time:1:50
word:the start_time:1:50 end_time:1:50
word:fact start_time:1:50 end_time:1:51
word:that start_time:1:51 end_time:1:51
word:the start_time:1:51 end_time:1:51
word:ideas start_time:1:51 end_time:1:52
word:of start_time:1:52 end_time:1:52
word:vector start_time:1:52 end_time:1:52
word:addition start_time:1:52 end_time:1:52
word:and start_time:1:52 end_time:1:53
word:multiplication start_time:1:53 end_time:1:53
word:by start_time:1:53 end_time:1:54
word:numbers start_time:1:54 end_time:1:54
word:will start_time:1:54 end_time:1:55
word:play start_time:1:55 end_time:1:55
word:an start_time:1:55 end_time:1:55
word:important start_time:1:55 end_time:1:55
word:role start_time:1:55 end_time:1:55
word:throughout start_time:1:55 end_time:1:56
word:linear start_time:1:56 end_time:1:56
word:algebra start_time:1:56 end_time:1:57
word:but start_time:1:57 end_time:1:58
word:before start_time:1:58 end_time:1:58
word:I start_time:1:58 end_time:1:58
word:talk start_time:1:58 end_time:1:58
word:about start_time:1:58 end_time:1:58
word:those start_time:1:58 end_time:1:58
word:operations start_time:1:58 end_time:1:59
word:let's start_time:1:59 end_time:2:0
word:just start_time:2:0 end_time:2:0
word:settle start_time:2:0 end_time:2:0
word:in start_time:2:0 end_time:2:0
word:on start_time:2:0 end_time:2:0
word:a start_time:2:0 end_time:2:1
word:specific start_time:2:1 end_time:2:1
word:thought start_time:2:1 end_time:2:1
word:to start_time:2:1 end_time:2:2
word:have start_time:2:2 end_time:2:2
word:in start_time:2:2 end_time:2:2
word:mind start_time:2:2 end_time:2:2
word:when start_time:2:2 end_time:2:3
word:I start_time:2:3 end_time:2:3
word:say start_time:2:3 end_time:2:3
word:the start_time:2:3 end_time:2:3
word:word start_time:2:3 end_time:2:3
word:Vector start_time:2:3 end_time:2:4
word:given start_time:2:4 end_time:2:4
word:the start_time:2:4 end_time:2:5
word:geometric start_time:2:5 end_time:2:5
word:Focus start_time:2:5 end_time:2:5
word:then start_time:2:5 end_time:2:6
word:I'm start_time:2:6 end_time:2:6
word:shooting start_time:2:6 end_time:2:6
word:for start_time:2:6 end_time:2:6
word:here start_time:2:6 end_time:2:6
word:whenever start_time:2:6 end_time:2:7
word:I start_time:2:7 end_time:2:7
word:introduce start_time:2:7 end_time:2:8
word:a start_time:2:8 end_time:2:8
word:new start_time:2:8 end_time:2:8
word:topic start_time:2:8 end_time:2:8
word:involving start_time:2:8 end_time:2:9
word:vectors start_time:2:9 end_time:2:9
word:I start_time:2:9 end_time:2:9
word:want start_time:2:9 end_time:2:10
word:you start_time:2:10 end_time:2:10
word:to start_time:2:10 end_time:2:10
word:First start_time:2:10 end_time:2:10
word:think start_time:2:10 end_time:2:10
word:about start_time:2:10 end_time:2:11
word:an start_time:2:11 end_time:2:11
word:arrow start_time:2:11 end_time:2:11
word:and start_time:2:11 end_time:2:12
word:specifically start_time:2:12 end_time:2:12
word:think start_time:2:12 end_time:2:13
word:about start_time:2:13 end_time:2:13
word:that start_time:2:13 end_time:2:13
word:Arrow start_time:2:13 end_time:2:14
word:inside start_time:2:14 end_time:2:14
word:a start_time:2:14 end_time:2:14
word:coordinate start_time:2:14 end_time:2:15
word:system start_time:2:15 end_time:2:15
word:like start_time:2:15 end_time:2:16
word:the start_time:2:16 end_time:2:16
word:xy-plane start_time:2:16 end_time:2:16
word:with start_time:2:16 end_time:2:17
word:its start_time:2:17 end_time:2:17
word:tail start_time:2:17 end_time:2:18
word:sitting start_time:2:18 end_time:2:18
word:at start_time:2:18 end_time:2:18
word:the start_time:2:18 end_time:2:18
word:origin start_time:2:18 end_time:2:18
word:this start_time:2:19 end_time:2:19
word:is start_time:2:19 end_time:2:20
word:a start_time:2:20 end_time:2:20
word:little start_time:2:20 end_time:2:20
word:bit start_time:2:20 end_time:2:20
word:different start_time:2:20 end_time:2:20
word:from start_time:2:20 end_time:2:20
word:the start_time:2:20 end_time:2:20
word:physics start_time:2:20 end_time:2:21
word:student start_time:2:21 end_time:2:21
word:perspective start_time:2:21 end_time:2:21
word:where start_time:2:21 end_time:2:22
word:Victor's start_time:2:22 end_time:2:22
word:can start_time:2:22 end_time:2:23
word:freely start_time:2:23 end_time:2:23
word:sit start_time:2:23 end_time:2:23
word:anywhere start_time:2:23 end_time:2:24
word:they start_time:2:24 end_time:2:24
word:want start_time:2:24 end_time:2:24
word:space start_time:2:24 end_time:2:24
word:in start_time:2:24 end_time:2:25
word:linear start_time:2:25 end_time:2:25
word:algebra start_time:2:25 end_time:2:25
word:it's start_time:2:25 end_time:2:26
word:almost start_time:2:26 end_time:2:27
word:always start_time:2:27 end_time:2:27
word:the start_time:2:27 end_time:2:27
word:case start_time:2:27 end_time:2:28
word:that start_time:2:28 end_time:2:28
word:your start_time:2:28 end_time:2:28
word:vector start_time:2:28 end_time:2:28
word:will start_time:2:28 end_time:2:28
word:be start_time:2:28 end_time:2:29
word:rooted start_time:2:29 end_time:2:29
word:at start_time:2:29 end_time:2:29
word:the start_time:2:29 end_time:2:29
word:origin start_time:2:29 end_time:2:30
word:then start_time:2:30 end_time:2:31
word:once start_time:2:31 end_time:2:32
word:you start_time:2:32 end_time:2:32
word:understand start_time:2:32 end_time:2:32
word:A start_time:2:32 end_time:2:32
word:New start_time:2:32 end_time:2:32
word:Concept start_time:2:32 end_time:2:33
word:in start_time:2:33 end_time:2:33
word:the start_time:2:33 end_time:2:33
word:context start_time:2:33 end_time:2:33
word:of start_time:2:33 end_time:2:34
word:arrows start_time:2:34 end_time:2:34
word:in start_time:2:34 end_time:2:34
word:space start_time:2:34 end_time:2:35
word:will start_time:2:35 end_time:2:35
word:translate start_time:2:35 end_time:2:36
word:it start_time:2:36 end_time:2:36
word:over start_time:2:36 end_time:2:36
word:to start_time:2:36 end_time:2:36
word:the start_time:2:36 end_time:2:36
word:list start_time:2:36 end_time:2:37
word:of start_time:2:37 end_time:2:37
word:numbers start_time:2:37 end_time:2:37
word:point start_time:2:37 end_time:2:37
word:of start_time:2:37 end_time:2:37
word:view start_time:2:37 end_time:2:38
word:which start_time:2:38 end_time:2:38
word:we start_time:2:38 end_time:2:38
word:can start_time:2:38 end_time:2:38
word:do start_time:2:38 end_time:2:38
word:by start_time:2:38 end_time:2:39
word:considering start_time:2:39 end_time:2:39
word:the start_time:2:39 end_time:2:39
word:coordinates start_time:2:39 end_time:2:40
word:of start_time:2:40 end_time:2:40
word:the start_time:2:40 end_time:2:40
word:vector start_time:2:40 end_time:2:40
word:while start_time:2:40 end_time:2:42
word:I'm start_time:2:42 end_time:2:42
word:sure start_time:2:42 end_time:2:42
word:that start_time:2:42 end_time:2:42
word:many start_time:2:42 end_time:2:42
word:of start_time:2:42 end_time:2:42
word:you start_time:2:42 end_time:2:42
word:are start_time:2:42 end_time:2:42
word:already start_time:2:42 end_time:2:43
word:familiar start_time:2:43 end_time:2:43
word:with start_time:2:43 end_time:2:43
word:this start_time:2:43 end_time:2:44
word:coordinate start_time:2:44 end_time:2:44
word:system start_time:2:44 end_time:2:44
word:it's start_time:2:44 end_time:2:45
word:worth start_time:2:45 end_time:2:45
word:walking start_time:2:45 end_time:2:45
word:through start_time:2:45 end_time:2:46
word:explicitly start_time:2:46 end_time:2:46
word:since start_time:2:46 end_time:2:46
word:this start_time:2:46 end_time:2:47
word:is start_time:2:47 end_time:2:47
word:where start_time:2:47 end_time:2:47
word:all start_time:2:47 end_time:2:47
word:of start_time:2:47 end_time:2:47
word:the start_time:2:47 end_time:2:48
word:important start_time:2:48 end_time:2:48
word:back start_time:2:48 end_time:2:48
word:and start_time:2:48 end_time:2:49
word:forth start_time:2:49 end_time:2:49
word:happened start_time:2:49 end_time:2:49
word:between start_time:2:49 end_time:2:50
word:the start_time:2:50 end_time:2:50
word:two start_time:2:50 end_time:2:50
word:perspectives start_time:2:50 end_time:2:50
word:of start_time:2:50 end_time:2:51
word:linear start_time:2:51 end_time:2:51
word:algebra start_time:2:51 end_time:2:51
word:focusing start_time:2:51 end_time:2:53
word:our start_time:2:53 end_time:2:53
word:attention start_time:2:53 end_time:2:53
word:on start_time:2:53 end_time:2:53
word:two start_time:2:53 end_time:2:53
word:dimensions start_time:2:53 end_time:2:54
word:for start_time:2:54 end_time:2:54
word:the start_time:2:54 end_time:2:54
word:moment start_time:2:54 end_time:2:54
word:you start_time:2:54 end_time:2:55
word:have start_time:2:55 end_time:2:55
word:a start_time:2:55 end_time:2:55
word:horizontal start_time:2:55 end_time:2:55
word:line start_time:2:55 end_time:2:56
word:called start_time:2:56 end_time:2:56
word:the start_time:2:56 end_time:2:56
word:x start_time:2:56 end_time:2:57
word:axis start_time:2:57 end_time:2:57
word:and start_time:2:57 end_time:2:57
word:the start_time:2:57 end_time:2:58
word:vertical start_time:2:58 end_time:2:58
word:line start_time:2:58 end_time:2:58
word:called start_time:2:58 end_time:2:59
word:the start_time:2:59 end_time:2:59
word:y-axis start_time:2:59 end_time:2:59
word:the start_time:2:59 end_time:3:0
word:place start_time:3:0 end_time:3:0
word:where start_time:3:0 end_time:3:0
word:they start_time:3:0 end_time:3:0
word:intersect start_time:3:0 end_time:3:1
word:is start_time:3:1 end_time:3:1
word:called start_time:3:1 end_time:3:1
word:the start_time:3:1 end_time:3:1
word:origin start_time:3:1 end_time:3:2
word:which start_time:3:2 end_time:3:2
word:you start_time:3:2 end_time:3:2
word:should start_time:3:2 end_time:3:3
word:think start_time:3:3 end_time:3:3
word:of start_time:3:3 end_time:3:3
word:as start_time:3:3 end_time:3:3
word:the start_time:3:3 end_time:3:3
word:center start_time:3:3 end_time:3:3
word:of start_time:3:3 end_time:3:4
word:space start_time:3:4 end_time:3:4
word:and start_time:3:4 end_time:3:4
word:the start_time:3:4 end_time:3:4
word:root start_time:3:4 end_time:3:4
word:of start_time:3:4 end_time:3:4
word:all start_time:3:4 end_time:3:5
word:vectors start_time:3:5 end_time:3:5
word:after start_time:3:5 end_time:3:6
word:choosing start_time:3:6 end_time:3:6
word:an start_time:3:6 end_time:3:7
word:arbitrary start_time:3:7 end_time:3:7
word:length start_time:3:7 end_time:3:7
word:represent start_time:3:7 end_time:3:8
word:one start_time:3:8 end_time:3:8
word:you start_time:3:8 end_time:3:8
word:make start_time:3:8 end_time:3:9
word:check start_time:3:9 end_time:3:9
word:marks start_time:3:9 end_time:3:9
word:on start_time:3:9 end_time:3:9
word:each start_time:3:9 end_time:3:9
word:axis start_time:3:9 end_time:3:10
word:to start_time:3:10 end_time:3:10
word:represent start_time:3:10 end_time:3:10
word:this start_time:3:10 end_time:3:10
word:distance start_time:3:10 end_time:3:11
word:what start_time:3:12 end_time:3:12
word:I start_time:3:12 end_time:3:12
word:want start_time:3:12 end_time:3:12
word:to start_time:3:12 end_time:3:12
word:convey start_time:3:12 end_time:3:13
word:the start_time:3:13 end_time:3:13
word:idea start_time:3:13 end_time:3:13
word:of start_time:3:13 end_time:3:13
word:2D start_time:3:13 end_time:3:14
word:space start_time:3:14 end_time:3:14
word:is start_time:3:14 end_time:3:14
word:a start_time:3:14 end_time:3:14
word:whole start_time:3:14 end_time:3:14
word:which start_time:3:14 end_time:3:15
word:you'll start_time:3:15 end_time:3:15
word:see start_time:3:15 end_time:3:15
word:comes start_time:3:15 end_time:3:15
word:up start_time:3:15 end_time:3:16
word:a start_time:3:16 end_time:3:16
word:lot start_time:3:16 end_time:3:16
word:in start_time:3:16 end_time:3:16
word:these start_time:3:16 end_time:3:16
word:videos start_time:3:16 end_time:3:16
word:all start_time:3:16 end_time:3:17
word:extend start_time:3:17 end_time:3:17
word:these start_time:3:17 end_time:3:17
word:take start_time:3:17 end_time:3:18
word:Mark's start_time:3:18 end_time:3:18
word:to start_time:3:18 end_time:3:18
word:make start_time:3:18 end_time:3:18
word:gridlines start_time:3:18 end_time:3:18
word:the start_time:3:18 end_time:3:19
word:right start_time:3:19 end_time:3:19
word:now start_time:3:19 end_time:3:19
word:they'll start_time:3:19 end_time:3:20
word:actually start_time:3:20 end_time:3:20
word:get start_time:3:20 end_time:3:20
word:a start_time:3:20 end_time:3:20
word:little start_time:3:20 end_time:3:20
word:bit start_time:3:20 end_time:3:21
word:in start_time:3:21 end_time:3:21
word:the start_time:3:21 end_time:3:21
word:way start_time:3:21 end_time:3:21
word:the start_time:3:21 end_time:3:22
word:coordinates start_time:3:22 end_time:3:22
word:of start_time:3:22 end_time:3:22
word:a start_time:3:22 end_time:3:22
word:vector start_time:3:22 end_time:3:23
word:is start_time:3:23 end_time:3:23
word:a start_time:3:23 end_time:3:23
word:pair start_time:3:23 end_time:3:24
word:of start_time:3:24 end_time:3:24
word:numbers start_time:3:24 end_time:3:24
word:that start_time:3:24 end_time:3:24
word:basically start_time:3:24 end_time:3:25
word:gives start_time:3:25 end_time:3:25
word:instructions start_time:3:25 end_time:3:26
word:for start_time:3:26 end_time:3:26
word:how start_time:3:26 end_time:3:26
word:to start_time:3:26 end_time:3:27
word:get start_time:3:27 end_time:3:27
word:from start_time:3:27 end_time:3:27
word:the start_time:3:27 end_time:3:27
word:tale start_time:3:27 end_time:3:27
word:of start_time:3:27 end_time:3:27
word:that start_time:3:27 end_time:3:28
word:Vector start_time:3:28 end_time:3:28
word:at start_time:3:28 end_time:3:28
word:the start_time:3:28 end_time:3:28
word:origin start_time:3:28 end_time:3:29
word:to start_time:3:29 end_time:3:29
word:its start_time:3:29 end_time:3:29
word:tip start_time:3:29 end_time:3:30
word:the start_time:3:30 end_time:3:31
word:first start_time:3:31 end_time:3:31
word:number start_time:3:31 end_time:3:31
word:tells start_time:3:31 end_time:3:31
word:you start_time:3:31 end_time:3:31
word:how start_time:3:31 end_time:3:32
word:far start_time:3:32 end_time:3:32
word:to start_time:3:32 end_time:3:32
word:walk start_time:3:32 end_time:3:32
word:along start_time:3:32 end_time:3:32
word:the start_time:3:32 end_time:3:33
word:x-axis start_time:3:33 end_time:3:33
word:positive start_time:3:33 end_time:3:34
word:numbers start_time:3:34 end_time:3:34
word:indicating start_time:3:34 end_time:3:35
word:right start_time:3:35 end_time:3:35
word:word start_time:3:35 end_time:3:35
word:motion start_time:3:35 end_time:3:35
word:negative start_time:3:35 end_time:3:36
word:numbers start_time:3:36 end_time:3:36
word:indicating start_time:3:36 end_time:3:37
word:leftward start_time:3:37 end_time:3:37
word:motion start_time:3:37 end_time:3:37
word:and start_time:3:37 end_time:3:38
word:the start_time:3:38 end_time:3:38
word:second start_time:3:38 end_time:3:38
word:number start_time:3:38 end_time:3:39
word:tells start_time:3:39 end_time:3:39
word:you start_time:3:39 end_time:3:39
word:how start_time:3:39 end_time:3:39
word:far start_time:3:39 end_time:3:40
word:to start_time:3:40 end_time:3:40
word:walk start_time:3:40 end_time:3:40
word:parallel start_time:3:40 end_time:3:41
word:to start_time:3:41 end_time:3:41
word:the start_time:3:41 end_time:3:41
word:y-axis start_time:3:41 end_time:3:42
word:after start_time:3:42 end_time:3:42
word:that start_time:3:42 end_time:3:43
word:positive start_time:3:43 end_time:3:43
word:numbers start_time:3:43 end_time:3:44
word:indicating start_time:3:44 end_time:3:44
word:upward start_time:3:44 end_time:3:44
word:motion start_time:3:44 end_time:3:44
word:and start_time:3:44 end_time:3:45
word:negative start_time:3:45 end_time:3:45
word:numbers start_time:3:45 end_time:3:46
word:indicating start_time:3:46 end_time:3:46
word:downward start_time:3:46 end_time:3:47
word:motion start_time:3:47 end_time:3:47
word:to start_time:3:47 end_time:3:48
