word:highest start_time:0:1 end_time:0:5
word:good start_time:0:39 end_time:0:39
word:in start_time:0:39 end_time:0:40
word:fact start_time:0:40 end_time:0:40
word:all start_time:0:40 end_time:0:40
word:life start_time:0:40 end_time:0:40
word:on start_time:0:40 end_time:0:41
word:our start_time:0:41 end_time:0:41
word:planet start_time:0:41 end_time:0:41
word:started start_time:0:41 end_time:0:42
word:with start_time:0:42 end_time:0:42
word:a start_time:0:42 end_time:0:42
word:change start_time:0:42 end_time:0:42
word:in start_time:0:42 end_time:0:43
word:the start_time:0:43 end_time:0:43
word:DNA start_time:0:43 end_time:0:43
word:that start_time:0:43 end_time:0:43
word:was start_time:0:43 end_time:0:43
word:selected start_time:0:43 end_time:0:44
word:for start_time:0:44 end_time:0:44
word:or start_time:0:44 end_time:0:45
word:against start_time:0:45 end_time:0:45
word:creating start_time:0:45 end_time:0:46
word:the start_time:0:46 end_time:0:46
word:wonderful start_time:0:46 end_time:0:47
word:diversity start_time:0:47 end_time:0:47
word:that start_time:0:47 end_time:0:47
word:we start_time:0:47 end_time:0:47
word:have start_time:0:47 end_time:0:47
word:on start_time:0:47 end_time:0:48
word:our start_time:0:48 end_time:0:48
word:planet start_time:0:48 end_time:0:48
word:and start_time:0:48 end_time:0:49
word:so start_time:0:49 end_time:0:49
word:when start_time:0:49 end_time:0:49
word:were start_time:0:49 end_time:0:49
word:you start_time:0:49 end_time:0:49
word:thinking start_time:0:49 end_time:0:49
word:about start_time:0:49 end_time:0:50
word:mutations start_time:0:50 end_time:0:50
word:and start_time:0:50 end_time:0:51
word:how start_time:0:51 end_time:0:51
word:they start_time:0:51 end_time:0:51
word:affect start_time:0:51 end_time:0:51
word:the start_time:0:51 end_time:0:52
word:proteins start_time:0:52 end_time:0:52
word:a start_time:0:52 end_time:0:52
word:good start_time:0:52 end_time:0:53
word:analogy start_time:0:53 end_time:0:53
word:is start_time:0:53 end_time:0:53
word:to start_time:0:53 end_time:0:53
word:think start_time:0:53 end_time:0:54
word:about start_time:0:54 end_time:0:54
word:recipes start_time:0:54 end_time:0:54
word:and start_time:0:54 end_time:0:55
word:so start_time:0:55 end_time:0:55
word:this start_time:0:55 end_time:0:55
word:is start_time:0:55 end_time:0:55
word:one start_time:0:55 end_time:0:55
word:of start_time:0:55 end_time:0:55
word:my start_time:0:55 end_time:0:55
word:favorite start_time:0:55 end_time:0:56
word:recipes start_time:0:56 end_time:0:56
word:it's start_time:0:56 end_time:0:56
word:the start_time:0:56 end_time:0:57
word:Nestle start_time:0:57 end_time:0:57
word:Toll start_time:0:57 end_time:0:58
word:House start_time:0:58 end_time:0:58
word:chocolate start_time:0:58 end_time:0:58
word:chip start_time:0:58 end_time:0:59
word:cookies start_time:0:59 end_time:0:59
word:recipe start_time:0:59 end_time:0:59
word:and start_time:0:59 end_time:1:0
word:so start_time:1:0 end_time:1:0
word:basically start_time:1:0 end_time:1:0
word:what start_time:1:0 end_time:1:1
word:I'm start_time:1:1 end_time:1:1
word:going start_time:1:1 end_time:1:1
word:to start_time:1:1 end_time:1:1
word:is start_time:1:1 end_time:1:2
word:it start_time:1:2 end_time:1:2
word:going start_time:1:2 end_time:1:2
word:to start_time:1:2 end_time:1:2
word:make start_time:1:2 end_time:1:2
word:a start_time:1:2 end_time:1:2
word:quick start_time:1:2 end_time:1:2
word:mutations start_time:1:2 end_time:1:3
word:recipes start_time:1:3 end_time:1:4
word:if start_time:1:4 end_time:1:4
word:you start_time:1:4 end_time:1:4
word:look start_time:1:4 end_time:1:4
word:carefully start_time:1:4 end_time:1:5
word:see start_time:1:5 end_time:1:5
word:if start_time:1:5 end_time:1:5
word:you start_time:1:5 end_time:1:5
word:can start_time:1:5 end_time:1:5
word:spot start_time:1:5 end_time:1:6
word:the start_time:1:6 end_time:1:6
word:mutation start_time:1:6 end_time:1:7
word:and start_time:1:7 end_time:1:8
word:if start_time:1:8 end_time:1:8
word:you start_time:1:8 end_time:1:8
word:saw start_time:1:8 end_time:1:8
word:it start_time:1:8 end_time:1:8
word:let start_time:1:8 end_time:1:9
word:me start_time:1:9 end_time:1:9
word:go start_time:1:9 end_time:1:9
word:back start_time:1:9 end_time:1:9
word:and start_time:1:9 end_time:1:10
word:now start_time:1:10 end_time:1:10
word:there's start_time:1:10 end_time:1:10
word:the start_time:1:10 end_time:1:10
word:mutation start_time:1:10 end_time:1:11
word:so start_time:1:11 end_time:1:11
word:basically start_time:1:11 end_time:1:12
word:what start_time:1:12 end_time:1:12
word:we start_time:1:12 end_time:1:12
word:have start_time:1:12 end_time:1:12
word:is start_time:1:12 end_time:1:13
word:a start_time:1:13 end_time:1:13
word:point start_time:1:13 end_time:1:13
word:mutation start_time:1:13 end_time:1:13
word:right start_time:1:13 end_time:1:14
word:here start_time:1:14 end_time:1:14
word:so start_time:1:14 end_time:1:14
word:the start_time:1:14 end_time:1:15
word:words start_time:1:15 end_time:1:15
word:sticks start_time:1:15 end_time:1:16
word:of start_time:1:16 end_time:1:16
word:butter start_time:1:16 end_time:1:16
word:has start_time:1:16 end_time:1:17
word:been start_time:1:17 end_time:1:17
word:changed start_time:1:17 end_time:1:18
word:to start_time:1:18 end_time:1:18
word:sticks start_time:1:18 end_time:1:19
word:of start_time:1:19 end_time:1:19
word:butter start_time:1:19 end_time:1:20
word:I start_time:1:20 end_time:1:20
word:could start_time:1:20 end_time:1:20
word:still start_time:1:20 end_time:1:20
word:read start_time:1:20 end_time:1:21
word:this start_time:1:21 end_time:1:21
word:recipe start_time:1:21 end_time:1:21
word:and start_time:1:21 end_time:1:22
word:I start_time:1:22 end_time:1:22
word:can start_time:1:22 end_time:1:22
word:make start_time:1:22 end_time:1:22
word:pretty start_time:1:22 end_time:1:23
word:good start_time:1:23 end_time:1:23
word:chocolate start_time:1:23 end_time:1:24
word:chip start_time:1:24 end_time:1:24
word:cookies start_time:1:24 end_time:1:24
word:get start_time:1:24 end_time:1:25
word:another start_time:1:25 end_time:1:26
word:point start_time:1:26 end_time:1:26
word:mutation start_time:1:26 end_time:1:27
word:so start_time:1:27 end_time:1:27
word:I'm start_time:1:27 end_time:1:27
word:going start_time:1:27 end_time:1:27
word:to start_time:1:27 end_time:1:27
word:change start_time:1:27 end_time:1:28
word:one start_time:1:28 end_time:1:28
word:thing start_time:1:28 end_time:1:28
word:in start_time:1:28 end_time:1:28
word:this start_time:1:28 end_time:1:29
word:recipe start_time:1:29 end_time:1:29
word:I start_time:1:29 end_time:1:30
word:don't start_time:1:30 end_time:1:30
word:know start_time:1:30 end_time:1:30
word:if start_time:1:30 end_time:1:30
word:you start_time:1:30 end_time:1:30
word:saw start_time:1:30 end_time:1:30
word:that start_time:1:30 end_time:1:30
word:if start_time:1:30 end_time:1:32
word:I start_time:1:32 end_time:1:32
word:change start_time:1:32 end_time:1:32
word:it start_time:1:32 end_time:1:32
word:again start_time:1:32 end_time:1:32
word:so start_time:1:32 end_time:1:33
word:what start_time:1:33 end_time:1:33
word:I've start_time:1:33 end_time:1:33
word:done start_time:1:33 end_time:1:34
word:is start_time:1:34 end_time:1:34
word:I start_time:1:34 end_time:1:34
word:change start_time:1:34 end_time:1:35
word:the start_time:1:35 end_time:1:35
word:number start_time:1:35 end_time:1:35
word:of start_time:1:35 end_time:1:35
word:teaspoons start_time:1:35 end_time:1:36
word:from start_time:1:36 end_time:1:36
word:1 start_time:1:36 end_time:1:37
word:to start_time:1:37 end_time:1:38
word:9 start_time:1:38 end_time:1:39
word:now start_time:1:39 end_time:1:39
word:what start_time:1:39 end_time:1:40
word:are start_time:1:40 end_time:1:40
word:the start_time:1:40 end_time:1:40
word:cookies start_time:1:40 end_time:1:41
word:going start_time:1:41 end_time:1:41
word:to start_time:1:41 end_time:1:41
word:taste start_time:1:41 end_time:1:41
word:like start_time:1:41 end_time:1:41
word:now start_time:1:41 end_time:1:41
word:they're start_time:1:41 end_time:1:42
word:probably start_time:1:42 end_time:1:42
word:going start_time:1:42 end_time:1:42
word:to start_time:1:42 end_time:1:42
word:taste start_time:1:42 end_time:1:42
word:awful start_time:1:42 end_time:1:43
word:I'm start_time:1:43 end_time:1:43
word:going start_time:1:43 end_time:1:43
word:to start_time:1:43 end_time:1:43
word:have start_time:1:43 end_time:1:44
word:way start_time:1:44 end_time:1:44
word:too start_time:1:44 end_time:1:44
word:much start_time:1:44 end_time:1:44
word:baking start_time:1:44 end_time:1:45
word:soda start_time:1:45 end_time:1:45
word:inside start_time:1:45 end_time:1:45
word:there start_time:1:45 end_time:1:46
word:and start_time:1:46 end_time:1:47
word:they're start_time:1:47 end_time:1:47
word:going start_time:1:47 end_time:1:47
word:to start_time:1:47 end_time:1:47
word:taste start_time:1:47 end_time:1:47
word:awful start_time:1:47 end_time:1:48
word:alkaline start_time:1:48 end_time:1:49
word:and start_time:1:49 end_time:1:49
word:I start_time:1:49 end_time:1:49
word:would start_time:1:49 end_time:1:49
word:say start_time:1:49 end_time:1:50
word:it's start_time:1:50 end_time:1:50
word:a start_time:1:50 end_time:1:50
word:let's start_time:1:50 end_time:1:51
word:look start_time:1:51 end_time:1:51
word:at start_time:1:51 end_time:1:51
word:another start_time:1:51 end_time:1:51
word:mutation start_time:1:51 end_time:1:52
word:then start_time:1:52 end_time:1:52
word:let's start_time:1:52 end_time:1:52
word:say start_time:1:52 end_time:1:52
word:we start_time:1:52 end_time:1:52
word:have start_time:1:52 end_time:1:53
word:this start_time:1:53 end_time:1:53
word:mutation start_time:1:53 end_time:1:53
word:again start_time:1:53 end_time:1:54
word:the start_time:1:54 end_time:1:54
word:first start_time:1:54 end_time:1:55
word:two start_time:1:55 end_time:1:55
word:are start_time:1:55 end_time:1:55
word:just start_time:1:55 end_time:1:55
word:changes start_time:1:55 end_time:1:55
word:in start_time:1:55 end_time:1:55
word:one start_time:1:55 end_time:1:56
word:letter start_time:1:56 end_time:1:56
word:looks start_time:1:56 end_time:1:57
word:like start_time:1:57 end_time:1:57
word:this start_time:1:57 end_time:1:57
word:mutation start_time:1:57 end_time:1:58
word:I start_time:1:58 end_time:1:58
word:bet start_time:1:58 end_time:1:59
word:you start_time:1:59 end_time:1:59
word:probably start_time:1:59 end_time:1:59
word:caught start_time:1:59 end_time:1:59
word:that start_time:1:59 end_time:1:59
word:one start_time:1:59 end_time:2:0
word:so start_time:2:0 end_time:2:0
word:again start_time:2:0 end_time:2:0
word:what start_time:2:0 end_time:2:0
word:are start_time:2:0 end_time:2:1
word:we start_time:2:1 end_time:2:1
word:doing start_time:2:1 end_time:2:1
word:well start_time:2:1 end_time:2:2
word:basically start_time:2:2 end_time:2:2
word:we're start_time:2:2 end_time:2:2
word:shifting start_time:2:2 end_time:2:2
word:this start_time:2:2 end_time:2:3
word:to start_time:2:3 end_time:2:3
word:turn start_time:2:3 end_time:2:3
word:on start_time:2:3 end_time:2:3
word:the start_time:2:3 end_time:2:4
word:oven start_time:2:4 end_time:2:4
word:to start_time:2:4 end_time:2:4
word:the start_time:2:4 end_time:2:4
word:end start_time:2:4 end_time:2:5
word:instead start_time:2:5 end_time:2:5
word:of start_time:2:5 end_time:2:6
word:where start_time:2:6 end_time:2:6
word:it start_time:2:6 end_time:2:6
word:should start_time:2:6 end_time:2:6
word:be start_time:2:6 end_time:2:6
word:which start_time:2:6 end_time:2:6
word:is start_time:2:6 end_time:2:7
word:right start_time:2:7 end_time:2:7
word:back start_time:2:7 end_time:2:7
word:here start_time:2:7 end_time:2:7
word:is start_time:2:7 end_time:2:8
word:that start_time:2:8 end_time:2:8
word:going start_time:2:8 end_time:2:8
word:to start_time:2:8 end_time:2:8
word:change start_time:2:8 end_time:2:8
word:our start_time:2:8 end_time:2:9
word:cookies start_time:2:9 end_time:2:9
word:for start_time:2:9 end_time:2:9
word:sure start_time:2:9 end_time:2:9
word:we're start_time:2:9 end_time:2:10
word:going start_time:2:10 end_time:2:10
word:to start_time:2:10 end_time:2:10
word:end start_time:2:10 end_time:2:11
word:up start_time:2:11 end_time:2:11
word:with start_time:2:11 end_time:2:11
word:knot start_time:2:11 end_time:2:11
word:cookies start_time:2:11 end_time:2:11
word:were start_time:2:11 end_time:2:12
word:going start_time:2:12 end_time:2:12
word:to start_time:2:12 end_time:2:12
word:end start_time:2:12 end_time:2:12
word:up start_time:2:12 end_time:2:12
word:with start_time:2:12 end_time:2:12
word:dough start_time:2:12 end_time:2:13
word:it start_time:2:13 end_time:2:13
word:so start_time:2:13 end_time:2:13
word:if start_time:2:13 end_time:2:14
word:you start_time:2:14 end_time:2:14
word:think start_time:2:14 end_time:2:14
word:about start_time:2:14 end_time:2:14
word:this start_time:2:14 end_time:2:14
word:changes start_time:2:14 end_time:2:15
word:in start_time:2:15 end_time:2:15
word:the start_time:2:15 end_time:2:15
word:DNA start_time:2:15 end_time:2:15
word:is start_time:2:15 end_time:2:15
word:just start_time:2:15 end_time:2:16
word:like start_time:2:16 end_time:2:16
word:changes start_time:2:16 end_time:2:16
word:in start_time:2:16 end_time:2:17
word:the start_time:2:17 end_time:2:17
word:recipe start_time:2:17 end_time:2:17
word:what start_time:2:17 end_time:2:18
word:causes start_time:2:18 end_time:2:19
word:them start_time:2:19 end_time:2:19
word:however start_time:2:19 end_time:2:19
word:it's start_time:2:19 end_time:2:20
word:not start_time:2:20 end_time:2:20
word:a start_time:2:20 end_time:2:20
word:typo start_time:2:20 end_time:2:20
word:basically start_time:2:20 end_time:2:21
word:there start_time:2:21 end_time:2:21
word:are start_time:2:21 end_time:2:22
word:two start_time:2:22 end_time:2:22
word:ways start_time:2:22 end_time:2:22
word:that start_time:2:22 end_time:2:22
word:you start_time:2:22 end_time:2:22
word:can start_time:2:22 end_time:2:23
word:get start_time:2:23 end_time:2:23
word:mutations start_time:2:23 end_time:2:23
word:the start_time:2:23 end_time:2:23
word:first start_time:2:23 end_time:2:24
word:or start_time:2:24 end_time:2:24
word:what start_time:2:24 end_time:2:24
word:it start_time:2:24 end_time:2:24
word:called start_time:2:24 end_time:2:24
word:spontaneous start_time:2:24 end_time:2:25
word:mutations start_time:2:25 end_time:2:26
word:that's start_time:2:26 end_time:2:26
word:when start_time:2:26 end_time:2:26
word:just start_time:2:26 end_time:2:27
word:something start_time:2:27 end_time:2:27
word:in start_time:2:27 end_time:2:27
word:the start_time:2:27 end_time:2:28
word:process start_time:2:28 end_time:2:28
word:of start_time:2:28 end_time:2:28
word:replicating start_time:2:28 end_time:2:29
word:the start_time:2:29 end_time:2:29
word:DNA start_time:2:29 end_time:2:30
word:or start_time:2:30 end_time:2:30
word:forming start_time:2:30 end_time:2:31
word:the start_time:2:31 end_time:2:31
word:gametes start_time:2:31 end_time:2:31
word:goes start_time:2:31 end_time:2:31
word:wrong start_time:2:31 end_time:2:32
word:it's start_time:2:32 end_time:2:32
word:a start_time:2:32 end_time:2:33
word:very start_time:2:33 end_time:2:33
word:common start_time:2:33 end_time:2:33
word:type start_time:2:33 end_time:2:33
word:it's start_time:2:33 end_time:2:34
word:not start_time:2:34 end_time:2:34
word:that start_time:2:34 end_time:2:34
word:common start_time:2:34 end_time:2:35
word:but start_time:2:35 end_time:2:35
word:a start_time:2:35 end_time:2:35
word:common start_time:2:35 end_time:2:35
word:type start_time:2:35 end_time:2:35
word:is start_time:2:35 end_time:2:35
word:called start_time:2:35 end_time:2:36
word:strand start_time:2:36 end_time:2:36
word:slippage start_time:2:36 end_time:2:37
word:where start_time:2:37 end_time:2:37
word:the start_time:2:37 end_time:2:37
word:the start_time:2:37 end_time:2:37
word:two start_time:2:37 end_time:2:38
word:strands start_time:2:38 end_time:2:38
word:the start_time:2:38 end_time:2:39
word:parent start_time:2:39 end_time:2:39
word:strand start_time:2:39 end_time:2:39
word:in start_time:2:39 end_time:2:40
word:the start_time:2:40 end_time:2:40
word:daughter start_time:2:40 end_time:2:40
word:strand start_time:2:40 end_time:2:40
word:of start_time:2:40 end_time:2:40
word:slipped start_time:2:40 end_time:2:41
word:past start_time:2:41 end_time:2:41
word:each start_time:2:41 end_time:2:41
word:other start_time:2:41 end_time:2:41
word:and start_time:2:41 end_time:2:42
word:then start_time:2:42 end_time:2:42
word:you start_time:2:42 end_time:2:42
word:get start_time:2:42 end_time:2:42
word:bonding start_time:2:42 end_time:2:43
word:it's start_time:2:43 end_time:2:43
word:not start_time:2:43 end_time:2:43
word:perfect start_time:2:43 end_time:2:44
word:and start_time:2:44 end_time:2:44
word:so start_time:2:44 end_time:2:44
word:that start_time:2:44 end_time:2:44
word:would start_time:2:44 end_time:2:44
word:be start_time:2:44 end_time:2:44
word:an start_time:2:44 end_time:2:44
word:example start_time:2:44 end_time:2:44
word:of start_time:2:44 end_time:2:45
word:a start_time:2:45 end_time:2:45
word:spontaneous start_time:2:45 end_time:2:45
word:mutation start_time:2:45 end_time:2:47
word:but start_time:2:47 end_time:2:47
word:a start_time:2:47 end_time:2:47
word:lot start_time:2:47 end_time:2:47
word:of start_time:2:47 end_time:2:47
word:mutations start_time:2:47 end_time:2:48
word:are start_time:2:48 end_time:2:48
word:caused start_time:2:48 end_time:2:48
word:by start_time:2:48 end_time:2:48
word:our start_time:2:48 end_time:2:48
word:environment start_time:2:48 end_time:2:49
word:and start_time:2:49 end_time:2:50
word:those start_time:2:50 end_time:2:50
word:are start_time:2:50 end_time:2:50
word:what start_time:2:50 end_time:2:50
word:are start_time:2:50 end_time:2:50
word:called start_time:2:50 end_time:2:50
word:induced start_time:2:50 end_time:2:51
word:mutations start_time:2:51 end_time:2:52
word:and start_time:2:52 end_time:2:52
word:so start_time:2:52 end_time:2:52
word:of start_time:2:52 end_time:2:53
word:radiation start_time:2:53 end_time:2:54
word:for start_time:2:54 end_time:2:54
word:example start_time:2:54 end_time:2:54
word:is start_time:2:54 end_time:2:54
word:causing start_time:2:54 end_time:2:55
word:skin start_time:2:55 end_time:2:55
word:cancer start_time:2:55 end_time:2:56
word:that start_time:2:56 end_time:2:56
word:would start_time:2:56 end_time:2:56
word:be start_time:2:56 end_time:2:57
word:an start_time:2:57 end_time:2:57
word:induced start_time:2:57 end_time:2:57
word:mutation start_time:2:57 end_time:2:58
word:or start_time:2:58 end_time:2:59
word:cigarettes start_time:2:59 end_time:3:0
word:it's start_time:3:0 end_time:3:0
word:a start_time:3:0 end_time:3:0
word:chemical start_time:3:0 end_time:3:0
word:that start_time:3:0 end_time:3:1
word:this start_time:3:1 end_time:3:1
word:mutation start_time:3:1 end_time:3:2
word:that start_time:3:2 end_time:3:2
word:we start_time:3:2 end_time:3:2
word:didn't start_time:3:2 end_time:3:2
word:used start_time:3:2 end_time:3:3
word:to start_time:3:3 end_time:3:3
word:know start_time:3:3 end_time:3:3
word:what start_time:3:3 end_time:3:3
word:was start_time:3:3 end_time:3:3
word:going start_time:3:3 end_time:3:4
word:on start_time:3:4 end_time:3:4
word:what start_time:3:4 end_time:3:4
word:can start_time:3:4 end_time:3:4
word:we start_time:3:4 end_time:3:4
word:do start_time:3:4 end_time:3:4
word:the start_time:3:4 end_time:3:5
word:cigarettes start_time:3:5 end_time:3:5
word:cause start_time:3:5 end_time:3:6
word:cancer start_time:3:6 end_time:3:6
word:food start_time:3:6 end_time:3:6
word:to start_time:3:6 end_time:3:6
word:know start_time:3:6 end_time:3:7
word:exactly start_time:3:7 end_time:3:7
word:how start_time:3:7 end_time:3:7
word:it start_time:3:7 end_time:3:7
word:worked start_time:3:7 end_time:3:8
word:its start_time:3:8 end_time:3:8
word:a start_time:3:8 end_time:3:8
word:recent start_time:3:8 end_time:3:9
word:Studies start_time:3:9 end_time:3:9
word:have start_time:3:9 end_time:3:9
word:shown start_time:3:9 end_time:3:9
word:that start_time:3:9 end_time:3:9
word:this start_time:3:9 end_time:3:10
word:chemical start_time:3:10 end_time:3:10
word:is start_time:3:10 end_time:3:10
word:just start_time:3:10 end_time:3:10
word:one start_time:3:10 end_time:3:11
word:of start_time:3:11 end_time:3:11
word:the start_time:3:11 end_time:3:11
word:mutagens start_time:3:11 end_time:3:12
word:found start_time:3:12 end_time:3:12
word:within start_time:3:12 end_time:3:12
word:cigarette start_time:3:12 end_time:3:13
word:smoke start_time:3:13 end_time:3:13
word:it's start_time:3:13 end_time:3:13
word:called start_time:3:13 end_time:3:13
word:benzo start_time:3:13 end_time:3:14
word:a start_time:3:14 end_time:3:14
word:pyrene start_time:3:14 end_time:3:14
word:and start_time:3:14 end_time:3:15
word:basically start_time:3:15 end_time:3:15
word:if start_time:3:15 end_time:3:16
word:you start_time:3:16 end_time:3:16
word:look start_time:3:16 end_time:3:16
word:at start_time:3:16 end_time:3:16
word:this start_time:3:16 end_time:3:16
word:chain start_time:3:16 end_time:3:17
word:right start_time:3:17 end_time:3:17
word:here. start_time:3:17 end_time:3:17
word:It's start_time:3:17 end_time:3:18
word:fitting start_time:3:18 end_time:3:18
word:right start_time:3:18 end_time:3:18
word:into start_time:3:18 end_time:3:19
word:the start_time:3:19 end_time:3:19
word:double start_time:3:19 end_time:3:19
word:helix start_time:3:19 end_time:3:20
word:and start_time:3:20 end_time:3:20
word:it's start_time:3:20 end_time:3:20
word:causing start_time:3:20 end_time:3:20
word:a start_time:3:20 end_time:3:20
word:mutation start_time:3:20 end_time:3:21
word:in start_time:3:21 end_time:3:21
word:the start_time:3:21 end_time:3:21
word:DNA start_time:3:21 end_time:3:21
word:now start_time:3:21 end_time:3:23
word:if start_time:3:23 end_time:3:23
word:it's start_time:3:23 end_time:3:23
word:an start_time:3:23 end_time:3:23
word:area start_time:3:23 end_time:3:23
word:where start_time:3:23 end_time:3:23
word:there's start_time:3:23 end_time:3:24
word:no start_time:3:24 end_time:3:24
word:jeans start_time:3:24 end_time:3:24
word:it start_time:3:24 end_time:3:24
word:may start_time:3:24 end_time:3:25
word:not start_time:3:25 end_time:3:25
word:be start_time:3:25 end_time:3:25
word:harmful start_time:3:25 end_time:3:25
word:but start_time:3:25 end_time:3:26
word:if start_time:3:26 end_time:3:26
word:it's start_time:3:26 end_time:3:26
word:an start_time:3:26 end_time:3:26
word:area start_time:3:26 end_time:3:26
word:especially start_time:3:26 end_time:3:26
word:in start_time:3:26 end_time:3:27
word:area start_time:3:27 end_time:3:27
word:where start_time:3:27 end_time:3:28
word:we start_time:3:28 end_time:3:28
word:have start_time:3:28 end_time:3:28
word:cancer start_time:3:28 end_time:3:28
word:suppressing start_time:3:28 end_time:3:29
word:jeans start_time:3:29 end_time:3:30
word:that's start_time:3:30 end_time:3:30
word:just start_time:3:30 end_time:3:30
word:going start_time:3:30 end_time:3:30
word:to start_time:3:30 end_time:3:31
word:lead start_time:3:31 end_time:3:31
word:to start_time:3:31 end_time:3:31
word:cancer start_time:3:31 end_time:3:31
word:and start_time:3:31 end_time:3:32
word:it's start_time:3:32 end_time:3:32
word:a start_time:3:32 end_time:3:32
word:car start_time:3:32 end_time:3:32
word:cause start_time:3:32 end_time:3:33
word:coming start_time:3:33 end_time:3:33
word:from start_time:3:33 end_time:3:34
word:the start_time:3:34 end_time:3:34
word:environment start_time:3:34 end_time:3:34
word:and start_time:3:34 end_time:3:35
word:so start_time:3:35 end_time:3:35
word:basically start_time:3:35 end_time:3:35
word:just start_time:3:35 end_time:3:37
word:like start_time:3:37 end_time:3:37
word:with start_time:3:37 end_time:3:37
word:the start_time:3:37 end_time:3:37
word:recipe start_time:3:37 end_time:3:38
word:in start_time:3:38 end_time:3:38
word:the start_time:3:38 end_time:3:38
word:cookies start_time:3:38 end_time:3:38
word:we start_time:3:38 end_time:3:38
word:can start_time:3:38 end_time:3:39
word:have start_time:3:39 end_time:3:39
word:mutations start_time:3:39 end_time:3:39
